Date,In,Out,Station,Seq,Route,InVerifyDate,OutVerifyDate
2000/01/01,0,0,象山站,1,淡水信義線,89年1月,
2000/02/01,0,0,象山站,1,淡水信義線,89年2月,
2000/03/01,0,0,象山站,1,淡水信義線,89年3月,
2000/04/01,0,0,象山站,1,淡水信義線,89年4月,
2000/05/01,0,0,象山站,1,淡水信義線,89年5月,
2000/06/01,0,0,象山站,1,淡水信義線,89年6月,
2000/07/01,0,0,象山站,1,淡水信義線,89年7月,
2000/08/01,0,0,象山站,1,淡水信義線,89年8月,
2000/09/01,0,0,象山站,1,淡水信義線,89年9月,
2000/10/01,0,0,象山站,1,淡水信義線,89年10月,
2000/11/01,0,0,象山站,1,淡水信義線,89年11月,
2000/12/01,0,0,象山站,1,淡水信義線,89年12月,
2001/01/01,0,0,象山站,1,淡水信義線,90年1月,
2001/02/01,0,0,象山站,1,淡水信義線,90年2月,
2001/03/01,0,0,象山站,1,淡水信義線,90年3月,
2001/04/01,0,0,象山站,1,淡水信義線,90年4月,
2001/05/01,0,0,象山站,1,淡水信義線,90年5月,
2001/06/01,0,0,象山站,1,淡水信義線,90年6月,
2001/07/01,0,0,象山站,1,淡水信義線,90年7月,
2001/08/01,0,0,象山站,1,淡水信義線,90年8月,
2001/09/01,0,0,象山站,1,淡水信義線,90年9月,
2001/10/01,0,0,象山站,1,淡水信義線,90年10月,
2001/11/01,0,0,象山站,1,淡水信義線,90年11月,
2001/12/01,0,0,象山站,1,淡水信義線,90年12月,
2002/01/01,0,0,象山站,1,淡水信義線,91年1月,
2002/02/01,0,0,象山站,1,淡水信義線,91年2月,
2002/03/01,0,0,象山站,1,淡水信義線,91年3月,
2002/04/01,0,0,象山站,1,淡水信義線,91年4月,
2002/05/01,0,0,象山站,1,淡水信義線,91年5月,
2002/06/01,0,0,象山站,1,淡水信義線,91年6月,
2002/07/01,0,0,象山站,1,淡水信義線,91年7月,
2002/08/01,0,0,象山站,1,淡水信義線,91年8月,
2002/09/01,0,0,象山站,1,淡水信義線,91年9月,
2002/10/01,0,0,象山站,1,淡水信義線,91年10月,
2002/11/01,0,0,象山站,1,淡水信義線,91年11月,
2002/12/01,0,0,象山站,1,淡水信義線,91年12月,
2003/01/01,0,0,象山站,1,淡水信義線,92年1月,
2003/02/01,0,0,象山站,1,淡水信義線,92年2月,
2003/03/01,0,0,象山站,1,淡水信義線,92年3月,
2003/04/01,0,0,象山站,1,淡水信義線,92年4月,
2003/05/01,0,0,象山站,1,淡水信義線,92年5月,
2003/06/01,0,0,象山站,1,淡水信義線,92年6月,
2003/07/01,0,0,象山站,1,淡水信義線,92年7月,
2003/08/01,0,0,象山站,1,淡水信義線,92年8月,
2003/09/01,0,0,象山站,1,淡水信義線,92年9月,
2003/10/01,0,0,象山站,1,淡水信義線,92年10月,
2003/11/01,0,0,象山站,1,淡水信義線,92年11月,
2003/12/01,0,0,象山站,1,淡水信義線,92年12月,
2004/01/01,0,0,象山站,1,淡水信義線,93年1月,
2004/02/01,0,0,象山站,1,淡水信義線,93年2月,
2004/03/01,0,0,象山站,1,淡水信義線,93年3月,
2004/04/01,0,0,象山站,1,淡水信義線,93年4月,
2004/05/01,0,0,象山站,1,淡水信義線,93年5月,
2004/06/01,0,0,象山站,1,淡水信義線,93年6月,
2004/07/01,0,0,象山站,1,淡水信義線,93年7月,
2004/08/01,0,0,象山站,1,淡水信義線,93年8月,
2004/09/01,0,0,象山站,1,淡水信義線,93年9月,
2004/10/01,0,0,象山站,1,淡水信義線,93年10月,
2004/11/01,0,0,象山站,1,淡水信義線,93年11月,
2004/12/01,0,0,象山站,1,淡水信義線,93年12月,
2005/01/01,0,0,象山站,1,淡水信義線,94年1月,
2005/02/01,0,0,象山站,1,淡水信義線,94年2月,
2005/03/01,0,0,象山站,1,淡水信義線,94年3月,
2005/04/01,0,0,象山站,1,淡水信義線,94年4月,
2005/05/01,0,0,象山站,1,淡水信義線,94年5月,
2005/06/01,0,0,象山站,1,淡水信義線,94年6月,
2005/07/01,0,0,象山站,1,淡水信義線,94年7月,
2005/08/01,0,0,象山站,1,淡水信義線,94年8月,
2005/09/01,0,0,象山站,1,淡水信義線,94年9月,
2005/10/01,0,0,象山站,1,淡水信義線,94年10月,
2005/11/01,0,0,象山站,1,淡水信義線,94年11月,
2005/12/01,0,0,象山站,1,淡水信義線,94年12月,
2006/01/01,0,0,象山站,1,淡水信義線,95年1月,
2006/02/01,0,0,象山站,1,淡水信義線,95年2月,
2006/03/01,0,0,象山站,1,淡水信義線,95年3月,
2006/04/01,0,0,象山站,1,淡水信義線,95年4月,
2006/05/01,0,0,象山站,1,淡水信義線,95年5月,
2006/06/01,0,0,象山站,1,淡水信義線,95年6月,
2006/07/01,0,0,象山站,1,淡水信義線,95年7月,
2006/08/01,0,0,象山站,1,淡水信義線,95年8月,
2006/09/01,0,0,象山站,1,淡水信義線,95年9月,
2006/10/01,0,0,象山站,1,淡水信義線,95年10月,
2006/11/01,0,0,象山站,1,淡水信義線,95年11月,
2006/12/01,0,0,象山站,1,淡水信義線,95年12月,
2007/01/01,0,0,象山站,1,淡水信義線,96年1月,
2007/02/01,0,0,象山站,1,淡水信義線,96年2月,
2007/03/01,0,0,象山站,1,淡水信義線,96年3月,
2007/04/01,0,0,象山站,1,淡水信義線,96年4月,
2007/05/01,0,0,象山站,1,淡水信義線,96年5月,
2007/06/01,0,0,象山站,1,淡水信義線,96年6月,
2007/07/01,0,0,象山站,1,淡水信義線,96年7月,
2007/08/01,0,0,象山站,1,淡水信義線,96年8月,
2007/09/01,0,0,象山站,1,淡水信義線,96年9月,
2007/10/01,0,0,象山站,1,淡水信義線,96年10月,
2007/11/01,0,0,象山站,1,淡水信義線,96年11月,
2007/12/01,0,0,象山站,1,淡水信義線,96年12月,
2008/01/01,0,0,象山站,1,淡水信義線,97年1月,
2008/02/01,0,0,象山站,1,淡水信義線,97年2月,
2008/03/01,0,0,象山站,1,淡水信義線,97年3月,
2008/04/01,0,0,象山站,1,淡水信義線,97年4月,
2008/05/01,0,0,象山站,1,淡水信義線,97年5月,
2008/06/01,0,0,象山站,1,淡水信義線,97年6月,
2008/07/01,0,0,象山站,1,淡水信義線,97年7月,
2008/08/01,0,0,象山站,1,淡水信義線,97年8月,
2008/09/01,0,0,象山站,1,淡水信義線,97年9月,
2008/10/01,0,0,象山站,1,淡水信義線,97年10月,
2008/11/01,0,0,象山站,1,淡水信義線,97年11月,
2008/12/01,0,0,象山站,1,淡水信義線,97年12月,
2009/01/01,0,0,象山站,1,淡水信義線,98年1月,
2009/02/01,0,0,象山站,1,淡水信義線,98年2月,
2009/03/01,0,0,象山站,1,淡水信義線,98年3月,
2009/04/01,0,0,象山站,1,淡水信義線,98年4月,
2009/05/01,0,0,象山站,1,淡水信義線,98年5月,
2009/06/01,0,0,象山站,1,淡水信義線,98年6月,
2009/07/01,0,0,象山站,1,淡水信義線,98年7月,
2009/08/01,0,0,象山站,1,淡水信義線,98年8月,
2009/09/01,0,0,象山站,1,淡水信義線,98年9月,
2009/10/01,0,0,象山站,1,淡水信義線,98年10月,
2009/11/01,0,0,象山站,1,淡水信義線,98年11月,
2009/12/01,0,0,象山站,1,淡水信義線,98年12月,
2010/01/01,0,0,象山站,1,淡水信義線,99年1月,
2010/02/01,0,0,象山站,1,淡水信義線,99年2月,
2010/03/01,0,0,象山站,1,淡水信義線,99年3月,
2010/04/01,0,0,象山站,1,淡水信義線,99年4月,
2010/05/01,0,0,象山站,1,淡水信義線,99年5月,
2010/06/01,0,0,象山站,1,淡水信義線,99年6月,
2010/07/01,0,0,象山站,1,淡水信義線,99年7月,
2010/08/01,0,0,象山站,1,淡水信義線,99年8月,
2010/09/01,0,0,象山站,1,淡水信義線,99年9月,
2010/10/01,0,0,象山站,1,淡水信義線,99年10月,
2010/11/01,0,0,象山站,1,淡水信義線,99年11月,
2010/12/01,0,0,象山站,1,淡水信義線,99年12月,
2011/01/01,0,0,象山站,1,淡水信義線,100年1月,
2011/02/01,0,0,象山站,1,淡水信義線,100年2月,
2011/03/01,0,0,象山站,1,淡水信義線,100年3月,
2011/04/01,0,0,象山站,1,淡水信義線,100年4月,
2011/05/01,0,0,象山站,1,淡水信義線,100年5月,
2011/06/01,0,0,象山站,1,淡水信義線,100年6月,
2011/07/01,0,0,象山站,1,淡水信義線,100年7月,
2011/08/01,0,0,象山站,1,淡水信義線,100年8月,
2011/09/01,0,0,象山站,1,淡水信義線,100年9月,
2011/10/01,0,0,象山站,1,淡水信義線,100年10月,
2011/11/01,0,0,象山站,1,淡水信義線,100年11月,
2011/12/01,0,0,象山站,1,淡水信義線,100年12月,
2012/01/01,0,0,象山站,1,淡水信義線,101年1月,
2012/02/01,0,0,象山站,1,淡水信義線,101年2月,
2012/03/01,0,0,象山站,1,淡水信義線,101年3月,
2012/04/01,0,0,象山站,1,淡水信義線,101年4月,
2012/05/01,0,0,象山站,1,淡水信義線,101年5月,
2012/06/01,0,0,象山站,1,淡水信義線,101年6月,
2012/07/01,0,0,象山站,1,淡水信義線,101年7月,
2012/08/01,0,0,象山站,1,淡水信義線,101年8月,
2012/09/01,0,0,象山站,1,淡水信義線,101年9月,
2012/10/01,0,0,象山站,1,淡水信義線,101年10月,
2012/11/01,0,0,象山站,1,淡水信義線,101年11月,
2012/12/01,0,0,象山站,1,淡水信義線,101年12月,
2013/01/01,0,0,象山站,1,淡水信義線,102年1月,
2013/02/01,0,0,象山站,1,淡水信義線,102年2月,
2013/03/01,0,0,象山站,1,淡水信義線,102年3月,
2013/04/01,0,0,象山站,1,淡水信義線,102年4月,
2013/05/01,0,0,象山站,1,淡水信義線,102年5月,
2013/06/01,0,0,象山站,1,淡水信義線,102年6月,
2013/07/01,0,0,象山站,1,淡水信義線,102年7月,
2013/08/01,0,0,象山站,1,淡水信義線,102年8月,
2013/09/01,0,0,象山站,1,淡水信義線,102年9月,
2013/10/01,0,0,象山站,1,淡水信義線,102年10月,
2013/11/01,154952,171763,象山站,1,淡水信義線,102年11月,
2013/12/01,400652,404838,象山站,1,淡水信義線,102年12月,
2014/01/01,236513,227646,象山站,1,淡水信義線,103年1月,
2014/02/01,214870,209272,象山站,1,淡水信義線,103年2月,
2014/03/01,242651,217232,象山站,1,淡水信義線,103年3月,
2014/04/01,233502,212244,象山站,1,淡水信義線,103年4月,
2014/05/01,231409,201314,象山站,1,淡水信義線,103年5月,
2014/06/01,215925,191419,象山站,1,淡水信義線,103年6月,
2014/07/01,231542,208259,象山站,1,淡水信義線,103年7月,
2014/08/01,239585,215459,象山站,1,淡水信義線,103年8月,
2014/09/01,233104,206166,象山站,1,淡水信義線,103年9月,
2014/10/01,261926,233205,象山站,1,淡水信義線,103年10月,
2014/11/01,265725,235099,象山站,1,淡水信義線,103年11月,
2014/12/01,322299,288079,象山站,1,淡水信義線,103年12月,
2015/01/01,301423,276151,象山站,1,淡水信義線,104年1月,
2015/02/01,253272,237687,象山站,1,淡水信義線,104年2月,
2015/03/01,309098,275018,象山站,1,淡水信義線,104年3月,
2015/04/01,291902,258698,象山站,1,淡水信義線,104年4月,
2015/05/01,297777,261759,象山站,1,淡水信義線,104年5月,
2015/06/01,284721,248626,象山站,1,淡水信義線,104年6月,
2015/07/01,297046,264870,象山站,1,淡水信義線,104年7月,
2000/01/01,0,0,世貿中心台北101站,2,淡水信義線,89年1月,
2000/02/01,0,0,世貿中心台北101站,2,淡水信義線,89年2月,
2000/03/01,0,0,世貿中心台北101站,2,淡水信義線,89年3月,
2000/04/01,0,0,世貿中心台北101站,2,淡水信義線,89年4月,
2000/05/01,0,0,世貿中心台北101站,2,淡水信義線,89年5月,
2000/06/01,0,0,世貿中心台北101站,2,淡水信義線,89年6月,
2000/07/01,0,0,世貿中心台北101站,2,淡水信義線,89年7月,
2000/08/01,0,0,世貿中心台北101站,2,淡水信義線,89年8月,
2000/09/01,0,0,世貿中心台北101站,2,淡水信義線,89年9月,
2000/10/01,0,0,世貿中心台北101站,2,淡水信義線,89年10月,
2000/11/01,0,0,世貿中心台北101站,2,淡水信義線,89年11月,
2000/12/01,0,0,世貿中心台北101站,2,淡水信義線,89年12月,
2001/01/01,0,0,世貿中心台北101站,2,淡水信義線,90年1月,
2001/02/01,0,0,世貿中心台北101站,2,淡水信義線,90年2月,
2001/03/01,0,0,世貿中心台北101站,2,淡水信義線,90年3月,
2001/04/01,0,0,世貿中心台北101站,2,淡水信義線,90年4月,
2001/05/01,0,0,世貿中心台北101站,2,淡水信義線,90年5月,
2001/06/01,0,0,世貿中心台北101站,2,淡水信義線,90年6月,
2001/07/01,0,0,世貿中心台北101站,2,淡水信義線,90年7月,
2001/08/01,0,0,世貿中心台北101站,2,淡水信義線,90年8月,
2001/09/01,0,0,世貿中心台北101站,2,淡水信義線,90年9月,
2001/10/01,0,0,世貿中心台北101站,2,淡水信義線,90年10月,
2001/11/01,0,0,世貿中心台北101站,2,淡水信義線,90年11月,
2001/12/01,0,0,世貿中心台北101站,2,淡水信義線,90年12月,
2002/01/01,0,0,世貿中心台北101站,2,淡水信義線,91年1月,
2002/02/01,0,0,世貿中心台北101站,2,淡水信義線,91年2月,
2002/03/01,0,0,世貿中心台北101站,2,淡水信義線,91年3月,
2002/04/01,0,0,世貿中心台北101站,2,淡水信義線,91年4月,
2002/05/01,0,0,世貿中心台北101站,2,淡水信義線,91年5月,
2002/06/01,0,0,世貿中心台北101站,2,淡水信義線,91年6月,
2002/07/01,0,0,世貿中心台北101站,2,淡水信義線,91年7月,
2002/08/01,0,0,世貿中心台北101站,2,淡水信義線,91年8月,
2002/09/01,0,0,世貿中心台北101站,2,淡水信義線,91年9月,
2002/10/01,0,0,世貿中心台北101站,2,淡水信義線,91年10月,
2002/11/01,0,0,世貿中心台北101站,2,淡水信義線,91年11月,
2002/12/01,0,0,世貿中心台北101站,2,淡水信義線,91年12月,
2003/01/01,0,0,世貿中心台北101站,2,淡水信義線,92年1月,
2003/02/01,0,0,世貿中心台北101站,2,淡水信義線,92年2月,
2003/03/01,0,0,世貿中心台北101站,2,淡水信義線,92年3月,
2003/04/01,0,0,世貿中心台北101站,2,淡水信義線,92年4月,
2003/05/01,0,0,世貿中心台北101站,2,淡水信義線,92年5月,
2003/06/01,0,0,世貿中心台北101站,2,淡水信義線,92年6月,
2003/07/01,0,0,世貿中心台北101站,2,淡水信義線,92年7月,
2003/08/01,0,0,世貿中心台北101站,2,淡水信義線,92年8月,
2003/09/01,0,0,世貿中心台北101站,2,淡水信義線,92年9月,
2003/10/01,0,0,世貿中心台北101站,2,淡水信義線,92年10月,
2003/11/01,0,0,世貿中心台北101站,2,淡水信義線,92年11月,
2003/12/01,0,0,世貿中心台北101站,2,淡水信義線,92年12月,
2004/01/01,0,0,世貿中心台北101站,2,淡水信義線,93年1月,
2004/02/01,0,0,世貿中心台北101站,2,淡水信義線,93年2月,
2004/03/01,0,0,世貿中心台北101站,2,淡水信義線,93年3月,
2004/04/01,0,0,世貿中心台北101站,2,淡水信義線,93年4月,
2004/05/01,0,0,世貿中心台北101站,2,淡水信義線,93年5月,
2004/06/01,0,0,世貿中心台北101站,2,淡水信義線,93年6月,
2004/07/01,0,0,世貿中心台北101站,2,淡水信義線,93年7月,
2004/08/01,0,0,世貿中心台北101站,2,淡水信義線,93年8月,
2004/09/01,0,0,世貿中心台北101站,2,淡水信義線,93年9月,
2004/10/01,0,0,世貿中心台北101站,2,淡水信義線,93年10月,
2004/11/01,0,0,世貿中心台北101站,2,淡水信義線,93年11月,
2004/12/01,0,0,世貿中心台北101站,2,淡水信義線,93年12月,
2005/01/01,0,0,世貿中心台北101站,2,淡水信義線,94年1月,
2005/02/01,0,0,世貿中心台北101站,2,淡水信義線,94年2月,
2005/03/01,0,0,世貿中心台北101站,2,淡水信義線,94年3月,
2005/04/01,0,0,世貿中心台北101站,2,淡水信義線,94年4月,
2005/05/01,0,0,世貿中心台北101站,2,淡水信義線,94年5月,
2005/06/01,0,0,世貿中心台北101站,2,淡水信義線,94年6月,
2005/07/01,0,0,世貿中心台北101站,2,淡水信義線,94年7月,
2005/08/01,0,0,世貿中心台北101站,2,淡水信義線,94年8月,
2005/09/01,0,0,世貿中心台北101站,2,淡水信義線,94年9月,
2005/10/01,0,0,世貿中心台北101站,2,淡水信義線,94年10月,
2005/11/01,0,0,世貿中心台北101站,2,淡水信義線,94年11月,
2005/12/01,0,0,世貿中心台北101站,2,淡水信義線,94年12月,
2006/01/01,0,0,世貿中心台北101站,2,淡水信義線,95年1月,
2006/02/01,0,0,世貿中心台北101站,2,淡水信義線,95年2月,
2006/03/01,0,0,世貿中心台北101站,2,淡水信義線,95年3月,
2006/04/01,0,0,世貿中心台北101站,2,淡水信義線,95年4月,
2006/05/01,0,0,世貿中心台北101站,2,淡水信義線,95年5月,
2006/06/01,0,0,世貿中心台北101站,2,淡水信義線,95年6月,
2006/07/01,0,0,世貿中心台北101站,2,淡水信義線,95年7月,
2006/08/01,0,0,世貿中心台北101站,2,淡水信義線,95年8月,
2006/09/01,0,0,世貿中心台北101站,2,淡水信義線,95年9月,
2006/10/01,0,0,世貿中心台北101站,2,淡水信義線,95年10月,
2006/11/01,0,0,世貿中心台北101站,2,淡水信義線,95年11月,
2006/12/01,0,0,世貿中心台北101站,2,淡水信義線,95年12月,
2007/01/01,0,0,世貿中心台北101站,2,淡水信義線,96年1月,
2007/02/01,0,0,世貿中心台北101站,2,淡水信義線,96年2月,
2007/03/01,0,0,世貿中心台北101站,2,淡水信義線,96年3月,
2007/04/01,0,0,世貿中心台北101站,2,淡水信義線,96年4月,
2007/05/01,0,0,世貿中心台北101站,2,淡水信義線,96年5月,
2007/06/01,0,0,世貿中心台北101站,2,淡水信義線,96年6月,
2007/07/01,0,0,世貿中心台北101站,2,淡水信義線,96年7月,
2007/08/01,0,0,世貿中心台北101站,2,淡水信義線,96年8月,
2007/09/01,0,0,世貿中心台北101站,2,淡水信義線,96年9月,
2007/10/01,0,0,世貿中心台北101站,2,淡水信義線,96年10月,
2007/11/01,0,0,世貿中心台北101站,2,淡水信義線,96年11月,
2007/12/01,0,0,世貿中心台北101站,2,淡水信義線,96年12月,
2008/01/01,0,0,世貿中心台北101站,2,淡水信義線,97年1月,
2008/02/01,0,0,世貿中心台北101站,2,淡水信義線,97年2月,
2008/03/01,0,0,世貿中心台北101站,2,淡水信義線,97年3月,
2008/04/01,0,0,世貿中心台北101站,2,淡水信義線,97年4月,
2008/05/01,0,0,世貿中心台北101站,2,淡水信義線,97年5月,
2008/06/01,0,0,世貿中心台北101站,2,淡水信義線,97年6月,
2008/07/01,0,0,世貿中心台北101站,2,淡水信義線,97年7月,
2008/08/01,0,0,世貿中心台北101站,2,淡水信義線,97年8月,
2008/09/01,0,0,世貿中心台北101站,2,淡水信義線,97年9月,
2008/10/01,0,0,世貿中心台北101站,2,淡水信義線,97年10月,
2008/11/01,0,0,世貿中心台北101站,2,淡水信義線,97年11月,
2008/12/01,0,0,世貿中心台北101站,2,淡水信義線,97年12月,
2009/01/01,0,0,世貿中心台北101站,2,淡水信義線,98年1月,
2009/02/01,0,0,世貿中心台北101站,2,淡水信義線,98年2月,
2009/03/01,0,0,世貿中心台北101站,2,淡水信義線,98年3月,
2009/04/01,0,0,世貿中心台北101站,2,淡水信義線,98年4月,
2009/05/01,0,0,世貿中心台北101站,2,淡水信義線,98年5月,
2009/06/01,0,0,世貿中心台北101站,2,淡水信義線,98年6月,
2009/07/01,0,0,世貿中心台北101站,2,淡水信義線,98年7月,
2009/08/01,0,0,世貿中心台北101站,2,淡水信義線,98年8月,
2009/09/01,0,0,世貿中心台北101站,2,淡水信義線,98年9月,
2009/10/01,0,0,世貿中心台北101站,2,淡水信義線,98年10月,
2009/11/01,0,0,世貿中心台北101站,2,淡水信義線,98年11月,
2009/12/01,0,0,世貿中心台北101站,2,淡水信義線,98年12月,
2010/01/01,0,0,世貿中心台北101站,2,淡水信義線,99年1月,
2010/02/01,0,0,世貿中心台北101站,2,淡水信義線,99年2月,
2010/03/01,0,0,世貿中心台北101站,2,淡水信義線,99年3月,
2010/04/01,0,0,世貿中心台北101站,2,淡水信義線,99年4月,
2010/05/01,0,0,世貿中心台北101站,2,淡水信義線,99年5月,
2010/06/01,0,0,世貿中心台北101站,2,淡水信義線,99年6月,
2010/07/01,0,0,世貿中心台北101站,2,淡水信義線,99年7月,
2010/08/01,0,0,世貿中心台北101站,2,淡水信義線,99年8月,
2010/09/01,0,0,世貿中心台北101站,2,淡水信義線,99年9月,
2010/10/01,0,0,世貿中心台北101站,2,淡水信義線,99年10月,
2010/11/01,0,0,世貿中心台北101站,2,淡水信義線,99年11月,
2010/12/01,0,0,世貿中心台北101站,2,淡水信義線,99年12月,
2011/01/01,0,0,世貿中心台北101站,2,淡水信義線,100年1月,
2011/02/01,0,0,世貿中心台北101站,2,淡水信義線,100年2月,
2011/03/01,0,0,世貿中心台北101站,2,淡水信義線,100年3月,
2011/04/01,0,0,世貿中心台北101站,2,淡水信義線,100年4月,
2011/05/01,0,0,世貿中心台北101站,2,淡水信義線,100年5月,
2011/06/01,0,0,世貿中心台北101站,2,淡水信義線,100年6月,
2011/07/01,0,0,世貿中心台北101站,2,淡水信義線,100年7月,
2011/08/01,0,0,世貿中心台北101站,2,淡水信義線,100年8月,
2011/09/01,0,0,世貿中心台北101站,2,淡水信義線,100年9月,
2011/10/01,0,0,世貿中心台北101站,2,淡水信義線,100年10月,
2011/11/01,0,0,世貿中心台北101站,2,淡水信義線,100年11月,
2011/12/01,0,0,世貿中心台北101站,2,淡水信義線,100年12月,
2012/01/01,0,0,世貿中心台北101站,2,淡水信義線,101年1月,
2012/02/01,0,0,世貿中心台北101站,2,淡水信義線,101年2月,
2012/03/01,0,0,世貿中心台北101站,2,淡水信義線,101年3月,
2012/04/01,0,0,世貿中心台北101站,2,淡水信義線,101年4月,
2012/05/01,0,0,世貿中心台北101站,2,淡水信義線,101年5月,
2012/06/01,0,0,世貿中心台北101站,2,淡水信義線,101年6月,
2012/07/01,0,0,世貿中心台北101站,2,淡水信義線,101年7月,
2012/08/01,0,0,世貿中心台北101站,2,淡水信義線,101年8月,
2012/09/01,0,0,世貿中心台北101站,2,淡水信義線,101年9月,
2012/10/01,0,0,世貿中心台北101站,2,淡水信義線,101年10月,
2012/11/01,0,0,世貿中心台北101站,2,淡水信義線,101年11月,
2012/12/01,0,0,世貿中心台北101站,2,淡水信義線,101年12月,
2013/01/01,0,0,世貿中心台北101站,2,淡水信義線,102年1月,
2013/02/01,0,0,世貿中心台北101站,2,淡水信義線,102年2月,
2013/03/01,0,0,世貿中心台北101站,2,淡水信義線,102年3月,
2013/04/01,0,0,世貿中心台北101站,2,淡水信義線,102年4月,
2013/05/01,0,0,世貿中心台北101站,2,淡水信義線,102年5月,
2013/06/01,0,0,世貿中心台北101站,2,淡水信義線,102年6月,
2013/07/01,0,0,世貿中心台北101站,2,淡水信義線,102年7月,
2013/08/01,0,0,世貿中心台北101站,2,淡水信義線,102年8月,
2013/09/01,0,0,世貿中心台北101站,2,淡水信義線,102年9月,
2013/10/01,0,0,世貿中心台北101站,2,淡水信義線,102年10月,
2013/11/01,264729,264176,世貿中心台北101站,2,淡水信義線,102年11月,
2013/12/01,1074311,1125658,世貿中心台北101站,2,淡水信義線,102年12月,
2014/01/01,738772,755185,世貿中心台北101站,2,淡水信義線,103年1月,
2014/02/01,686000,696391,世貿中心台北101站,2,淡水信義線,103年2月,
2014/03/01,725708,733183,世貿中心台北101站,2,淡水信義線,103年3月,
2014/04/01,672203,689484,世貿中心台北101站,2,淡水信義線,103年4月,
2014/05/01,779360,785760,世貿中心台北101站,2,淡水信義線,103年5月,
2014/06/01,677779,657157,世貿中心台北101站,2,淡水信義線,103年6月,
2014/07/01,761924,773880,世貿中心台北101站,2,淡水信義線,103年7月,
2014/08/01,872091,872686,世貿中心台北101站,2,淡水信義線,103年8月,
2014/09/01,733024,742375,世貿中心台北101站,2,淡水信義線,103年9月,
2014/10/01,762535,780775,世貿中心台北101站,2,淡水信義線,103年10月,
2014/11/01,820136,834662,世貿中心台北101站,2,淡水信義線,103年11月,
2014/12/01,966023,1000397,世貿中心台北101站,2,淡水信義線,103年12月,
2015/01/01,846545,851351,世貿中心台北101站,2,淡水信義線,104年1月,
2015/02/01,815162,820764,世貿中心台北101站,2,淡水信義線,104年2月,
2015/03/01,852859,859131,世貿中心台北101站,2,淡水信義線,104年3月,
2015/04/01,826634,841544,世貿中心台北101站,2,淡水信義線,104年4月,
2015/05/01,908274,927017,世貿中心台北101站,2,淡水信義線,104年5月,
2015/06/01,812042,818338,世貿中心台北101站,2,淡水信義線,104年6月,
2015/07/01,905450,922561,世貿中心台北101站,2,淡水信義線,104年7月,
2000/01/01,0,0,信義安和站,3,淡水信義線,89年1月,
2000/02/01,0,0,信義安和站,3,淡水信義線,89年2月,
2000/03/01,0,0,信義安和站,3,淡水信義線,89年3月,
2000/04/01,0,0,信義安和站,3,淡水信義線,89年4月,
2000/05/01,0,0,信義安和站,3,淡水信義線,89年5月,
2000/06/01,0,0,信義安和站,3,淡水信義線,89年6月,
2000/07/01,0,0,信義安和站,3,淡水信義線,89年7月,
2000/08/01,0,0,信義安和站,3,淡水信義線,89年8月,
2000/09/01,0,0,信義安和站,3,淡水信義線,89年9月,
2000/10/01,0,0,信義安和站,3,淡水信義線,89年10月,
2000/11/01,0,0,信義安和站,3,淡水信義線,89年11月,
2000/12/01,0,0,信義安和站,3,淡水信義線,89年12月,
2001/01/01,0,0,信義安和站,3,淡水信義線,90年1月,
2001/02/01,0,0,信義安和站,3,淡水信義線,90年2月,
2001/03/01,0,0,信義安和站,3,淡水信義線,90年3月,
2001/04/01,0,0,信義安和站,3,淡水信義線,90年4月,
2001/05/01,0,0,信義安和站,3,淡水信義線,90年5月,
2001/06/01,0,0,信義安和站,3,淡水信義線,90年6月,
2001/07/01,0,0,信義安和站,3,淡水信義線,90年7月,
2001/08/01,0,0,信義安和站,3,淡水信義線,90年8月,
2001/09/01,0,0,信義安和站,3,淡水信義線,90年9月,
2001/10/01,0,0,信義安和站,3,淡水信義線,90年10月,
2001/11/01,0,0,信義安和站,3,淡水信義線,90年11月,
2001/12/01,0,0,信義安和站,3,淡水信義線,90年12月,
2002/01/01,0,0,信義安和站,3,淡水信義線,91年1月,
2002/02/01,0,0,信義安和站,3,淡水信義線,91年2月,
2002/03/01,0,0,信義安和站,3,淡水信義線,91年3月,
2002/04/01,0,0,信義安和站,3,淡水信義線,91年4月,
2002/05/01,0,0,信義安和站,3,淡水信義線,91年5月,
2002/06/01,0,0,信義安和站,3,淡水信義線,91年6月,
2002/07/01,0,0,信義安和站,3,淡水信義線,91年7月,
2002/08/01,0,0,信義安和站,3,淡水信義線,91年8月,
2002/09/01,0,0,信義安和站,3,淡水信義線,91年9月,
2002/10/01,0,0,信義安和站,3,淡水信義線,91年10月,
2002/11/01,0,0,信義安和站,3,淡水信義線,91年11月,
2002/12/01,0,0,信義安和站,3,淡水信義線,91年12月,
2003/01/01,0,0,信義安和站,3,淡水信義線,92年1月,
2003/02/01,0,0,信義安和站,3,淡水信義線,92年2月,
2003/03/01,0,0,信義安和站,3,淡水信義線,92年3月,
2003/04/01,0,0,信義安和站,3,淡水信義線,92年4月,
2003/05/01,0,0,信義安和站,3,淡水信義線,92年5月,
2003/06/01,0,0,信義安和站,3,淡水信義線,92年6月,
2003/07/01,0,0,信義安和站,3,淡水信義線,92年7月,
2003/08/01,0,0,信義安和站,3,淡水信義線,92年8月,
2003/09/01,0,0,信義安和站,3,淡水信義線,92年9月,
2003/10/01,0,0,信義安和站,3,淡水信義線,92年10月,
2003/11/01,0,0,信義安和站,3,淡水信義線,92年11月,
2003/12/01,0,0,信義安和站,3,淡水信義線,92年12月,
